1: out: 10563380 cor: 10563380, passed: yes
247: out: 53730 cor: 53730, passed: yes
248: out: 10521688 cor: 10521688, passed: yes
249: out: -1 cor: -1, passed: yes
250: out: 74288 cor: 74288, passed: yes
251: out: 79617638 cor: 79617638, passed: yes
252: out: 13692551 cor: 13692551, passed: yes
253: out: -1 cor: -1, passed: yes
254: out: 396951089 cor: 396951089, passed: yes
255: out: -1 cor: -1, passed: yes
256: out: 3243662 cor: 3243662, passed: yes
257: out: -1 cor: -1, passed: yes
258: out: -1 cor: -1, passed: yes
259: out: 10878 cor: 10878, passed: yes
260: out: -1 cor: -1, passed: yes
261: out: 26671042 cor: 26671042, passed: yes
262: out: 198184243 cor: 198184243, passed: yes
263: out: 11144549 cor: 11144549, passed: yes
264: out: -1 cor: -1, passed: yes
265: out: 974877 cor: 974877, passed: yes
266: out: -1 cor: -1, passed: yes
267: out: 10414949 cor: 10414949, passed: yes
268: out: -1 cor: -1, passed: yes
269: out: 200242559 cor: 200242559, passed: yes
270: out: -1 cor: -1, passed: yes
271: out: -1 cor: -1, passed: yes
272: out: 79190834 cor: 79190834, passed: yes
273: out: 9999042 cor: 9999042, passed: yes
274: out: 802 cor: 802, passed: yes
275: out: 55588 cor: 55588, passed: yes
276: out: -1 cor: -1, passed: yes
277: out: -1 cor: -1, passed: yes
278: out: 2362 cor: 2362, passed: yes
279: out: 11412017 cor: 11412017, passed: yes
280: out: 13416562 cor: 13416562, passed: yes
281: out: 15154 cor: 15154, passed: yes
282: out: 18785134 cor: 18785134, passed: yes
283: out: -1 cor: -1, passed: yes
284: out: 9009219 cor: 9009219, passed: yes
285: out: -1 cor: -1, passed: yes
286: out: -1 cor: -1, passed: yes
287: out: 1270 cor: 1270, passed: yes
288: out: -1 cor: -1, passed: yes
289: out: 17680809 cor: 17680809, passed: yes
290: out: 473886 cor: 473886, passed: yes
291: out: 639059 cor: 639059, passed: yes
292: out: -1 cor: -1, passed: yes
293: out: 45371031 cor: 45371031, passed: yes
294: out: -1 cor: -1, passed: yes
295: out: 6833061 cor: 6833061, passed: yes
296: out: 0 cor: 0, passed: yes
297: out: -1 cor: -1, passed: yes
298: out: -1 cor: -1, passed: yes
299: out: -1 cor: -1, passed: yes
300: out: -1 cor: -1, passed: yes
301: out: 12163869 cor: 12163869, passed: yes
302: out: -1 cor: -1, passed: yes
303: out: 50828107 cor: 50828107, passed: yes
304: out: -1 cor: -1, passed: yes
305: out: -1 cor: -1, passed: yes
306: out: 139364293 cor: 139364293, passed: yes
307: out: -1 cor: -1, passed: yes
308: out: -1 cor: -1, passed: yes
309: out: -1 cor: -1, passed: yes
310: out: 8316264 cor: 8316264, passed: yes
311: out: -1 cor: -1, passed: yes
312: out: 3391 cor: 3391, passed: yes
313: out: -1 cor: -1, passed: yes
314: out: 1722130 cor: 1722130, passed: yes
315: out: 615136 cor: 615136, passed: yes
316: out: -1 cor: -1, passed: yes
317: out: -1 cor: -1, passed: yes
318: out: -1 cor: -1, passed: yes
319: out: -1 cor: -1, passed: yes
320: out: 1508279 cor: 1508279, passed: yes
321: out: -1 cor: -1, passed: yes
322: out: 586936 cor: 586936, passed: yes
323: out: -1 cor: -1, passed: yes
324: out: 275792 cor: 275792, passed: yes
325: out: -1 cor: -1, passed: yes
326: out: -1 cor: -1, passed: yes
327: out: -1 cor: -1, passed: yes
328: out: 16828220 cor: 16828220, passed: yes
329: out: 85811606 cor: 85811606, passed: yes
330: out: 4834053 cor: 4834053, passed: yes
331: out: -1 cor: -1, passed: yes
332: out: 3073183 cor: 3073183, passed: yes
333: out: -1 cor: -1, passed: yes
334: out: 1620 cor: 1620, passed: yes
335: out: 23134906 cor: 23134906, passed: yes
336: out: 1369887 cor: 1369887, passed: yes
337: out: 290111968 cor: 290111968, passed: yes
338: out: 7289693 cor: 7289693, passed: yes
339: out: 74899794 cor: 74899794, passed: yes
340: out: -1 cor: -1, passed: yes
341: out: 4957444 cor: 4957444, passed: yes
342: out: 594773 cor: 594773, passed: yes
343: out: -1 cor: -1, passed: yes
344: out: -1 cor: -1, passed: yes
345: out: 87226699 cor: 87226699, passed: yes
346: out: 15648054 cor: 15648054, passed: yes
347: out: 33447445 cor: 33447445, passed: yes
348: out: 2885111 cor: 2885111, passed: yes
349: out: 1902790 cor: 1902790, passed: yes
350: out: 4216460 cor: 4216460, passed: yes
351: out: 426013570 cor: 426013570, passed: yes
352: out: 327920351 cor: 327920351, passed: yes
353: out: 2757039 cor: 2757039, passed: yes
354: out: 54098489 cor: 54098489, passed: yes
355: out: 51461 cor: 51461, passed: yes
356: out: 78219005 cor: 78219005, passed: yes
357: out: 5090736 cor: 5090736, passed: yes
358: out: -1 cor: -1, passed: yes
359: out: -1 cor: -1, passed: yes
360: out: 184698790 cor: 184698790, passed: yes
361: out: -1 cor: -1, passed: yes
362: out: 527387220 cor: 527387220, passed: yes
363: out: 420029658 cor: 420029658, passed: yes
364: out: -1 cor: -1, passed: yes
365: out: 56077 cor: 56077, passed: yes
366: out: -1 cor: -1, passed: yes
367: out: 121410097 cor: 121410097, passed: yes
368: out: 574317 cor: 574317, passed: yes
369: out: -1 cor: -1, passed: yes
370: out: 266360 cor: 266360, passed: yes
371: out: 2857121 cor: 2857121, passed: yes
372: out: -1 cor: -1, passed: yes
373: out: -1 cor: -1, passed: yes
374: out: 4311826 cor: 4311826, passed: yes
375: out: -1 cor: -1, passed: yes
376: out: 1095484 cor: 1095484, passed: yes
377: out: -1 cor: -1, passed: yes
378: out: -1 cor: -1, passed: yes
379: out: 31028394 cor: 31028394, passed: yes
380: out: -1 cor: -1, passed: yes
381: out: -1 cor: -1, passed: yes
382: out: -1 cor: -1, passed: yes
383: out: 582015 cor: 582015, passed: yes
384: out: 7769708 cor: 7769708, passed: yes
385: out: 450 cor: 450, passed: yes
386: out: 29892363 cor: 29892363, passed: yes
387: out: 42702953 cor: 42702953, passed: yes
388: out: 5497651 cor: 5497651, passed: yes
389: out: 885 cor: 885, passed: yes
390: out: 16431386 cor: 16431386, passed: yes
391: out: -1 cor: -1, passed: yes
392: out: 142595463 cor: 142595463, passed: yes
393: out: 83264 cor: 83264, passed: yes
394: out: -1 cor: -1, passed: yes
395: out: 9837494 cor: 9837494, passed: yes
396: out: 3744630 cor: 3744630, passed: yes
397: out: 6320335 cor: 6320335, passed: yes
398: out: 27880813 cor: 27880813, passed: yes
399: out: 8392001 cor: 8392001, passed: yes
400: out: -1 cor: -1, passed: yes
401: out: -1 cor: -1, passed: yes
402: out: 84554 cor: 84554, passed: yes
403: out: 184678288 cor: 184678288, passed: yes
404: out: -1 cor: -1, passed: yes
405: out: -1 cor: -1, passed: yes
406: out: 394431 cor: 394431, passed: yes
407: out: 60333645 cor: 60333645, passed: yes
408: out: 1486 cor: 1486, passed: yes
409: out: 960823 cor: 960823, passed: yes
410: out: 6524 cor: 6524, passed: yes
411: out: -1 cor: -1, passed: yes
412: out: 581 cor: 581, passed: yes
413: out: 56511274 cor: 56511274, passed: yes
414: out: -1 cor: -1, passed: yes
415: out: -1 cor: -1, passed: yes
416: out: 152349974 cor: 152349974, passed: yes
417: out: 10113098 cor: 10113098, passed: yes
418: out: -1 cor: -1, passed: yes
419: out: 74278870 cor: 74278870, passed: yes
420: out: 265221 cor: 265221, passed: yes
421: out: -1 cor: -1, passed: yes
422: out: 20746831 cor: 20746831, passed: yes
423: out: -1 cor: -1, passed: yes
424: out: 6756359 cor: 6756359, passed: yes
425: out: 11219 cor: 11219, passed: yes
426: out: -1 cor: -1, passed: yes
427: out: 41143809 cor: 41143809, passed: yes
428: out: 90207683 cor: 90207683, passed: yes
429: out: 1905482 cor: 1905482, passed: yes
430: out: -1 cor: -1, passed: yes
431: out: 32101129 cor: 32101129, passed: yes
432: out: -1 cor: -1, passed: yes
433: out: 39613882 cor: 39613882, passed: yes
434: out: -1 cor: -1, passed: yes
435: out: 644097 cor: 644097, passed: yes
436: out: 1649429 cor: 1649429, passed: yes
437: out: 17469385 cor: 17469385, passed: yes
438: out: 7978 cor: 7978, passed: yes
439: out: -1 cor: -1, passed: yes
440: out: 353077 cor: 353077, passed: yes
441: out: 69863 cor: 69863, passed: yes
442: out: 5478 cor: 5478, passed: yes
443: out: 144296434 cor: 144296434, passed: yes
444: out: 16339647 cor: 16339647, passed: yes
445: out: 5916404 cor: 5916404, passed: yes
446: out: -1 cor: -1, passed: yes
447: out: -1 cor: -1, passed: yes
448: out: 19910 cor: 19910, passed: yes
449: out: 18336364 cor: 18336364, passed: yes
450: out: -1 cor: -1, passed: yes
451: out: 345913 cor: 345913, passed: yes
452: out: 8007332 cor: 8007332, passed: yes
453: out: -1 cor: -1, passed: yes
454: out: -1 cor: -1, passed: yes
455: out: 1902144 cor: 1902144, passed: yes
456: out: 1328275 cor: 1328275, passed: yes
457: out: 35513 cor: 35513, passed: yes
458: out: 166960792 cor: 166960792, passed: yes
459: out: -1 cor: -1, passed: yes
460: out: 8561709 cor: 8561709, passed: yes
461: out: 4534887 cor: 4534887, passed: yes
462: out: 18775 cor: 18775, passed: yes
463: out: 159900760 cor: 159900760, passed: yes
464: out: -1 cor: -1, passed: yes
465: out: 33459 cor: 33459, passed: yes
466: out: -1 cor: -1, passed: yes
467: out: 570713 cor: 570713, passed: yes
468: out: 326991 cor: 326991, passed: yes
469: out: 17801396 cor: 17801396, passed: yes
470: out: 340944 cor: 340944, passed: yes
471: out: 367788697 cor: 367788697, passed: yes
472: out: -1 cor: -1, passed: yes
473: out: -1 cor: -1, passed: yes
474: out: 391485 cor: 391485, passed: yes
475: out: 111012347 cor: 111012347, passed: yes
476: out: 20029303 cor: 20029303, passed: yes
477: out: 47458421 cor: 47458421, passed: yes
478: out: -1 cor: -1, passed: yes
479: out: 334358139 cor: 334358139, passed: yes
480: out: 58625 cor: 58625, passed: yes
481: out: -1 cor: -1, passed: yes
482: out: 15185063 cor: 15185063, passed: yes
483: out: -1 cor: -1, passed: yes
484: out: -1 cor: -1, passed: yes
485: out: 11267256 cor: 11267256, passed: yes
486: out: -1 cor: -1, passed: yes
487: out: 105993858 cor: 105993858, passed: yes
488: out: -1 cor: -1, passed: yes
489: out: -1 cor: -1, passed: yes
490: out: -1 cor: -1, passed: yes
491: out: 39628238 cor: 39628238, passed: yes
492: out: -1 cor: -1, passed: yes
493: out: -1 cor: -1, passed: yes
494: out: 6389 cor: 6389, passed: yes
495: out: 27991418 cor: 27991418, passed: yes
496: out: 2265829 cor: 2265829, passed: yes
497: out: 390 cor: 390, passed: yes
498: out: 1424914 cor: 1424914, passed: yes
499: out: -1 cor: -1, passed: yes
500: out: 6730388 cor: 6730388, passed: yes
501: out: -1 cor: -1, passed: yes
502: out: 25382 cor: 25382, passed: yes
503: out: -1 cor: -1, passed: yes
504: out: 142928826 cor: 142928826, passed: yes
505: out: 3759999 cor: 3759999, passed: yes
506: out: 281011902 cor: 281011902, passed: yes
507: out: -1 cor: -1, passed: yes
508: out: 8592402 cor: 8592402, passed: yes
509: out: -1 cor: -1, passed: yes
510: out: -1 cor: -1, passed: yes
511: out: -1 cor: -1, passed: yes
512: out: 38268 cor: 38268, passed: yes
513: out: 281536550 cor: 281536550, passed: yes
514: out: 23912 cor: 23912, passed: yes
515: out: -1 cor: -1, passed: yes
516: out: -1 cor: -1, passed: yes
517: out: 63566886 cor: 63566886, passed: yes
518: out: 39095836 cor: 39095836, passed: yes
519: out: -1 cor: -1, passed: yes
520: out: 18937042 cor: 18937042, passed: yes
521: out: 22673 cor: 22673, passed: yes
522: out: 48333007 cor: 48333007, passed: yes
523: out: -1 cor: -1, passed: yes
524: out: -1 cor: -1, passed: yes
525: out: -1 cor: -1, passed: yes
526: out: -1 cor: -1, passed: yes
527: out: 14743061 cor: 14743061, passed: yes
528: out: 1127822 cor: 1127822, passed: yes
529: out: -1 cor: -1, passed: yes
530: out: 275647049 cor: 275647049, passed: yes
531: out: -1 cor: -1, passed: yes
532: out: 2600950 cor: 2600950, passed: yes
533: out: 12447572 cor: 12447572, passed: yes
534: out: -1 cor: -1, passed: yes
535: out: -1 cor: -1, passed: yes
536: out: -1 cor: -1, passed: yes
537: out: -1 cor: -1, passed: yes
538: out: 33513308 cor: 33513308, passed: yes
539: out: 245522 cor: 245522, passed: yes
540: out: 2475 cor: 2475, passed: yes
541: out: -1 cor: -1, passed: yes
542: out: -1 cor: -1, passed: yes
543: out: 2316177 cor: 2316177, passed: yes
544: out: 7051475 cor: 7051475, passed: yes
545: out: 23768151 cor: 23768151, passed: yes
546: out: -1 cor: -1, passed: yes
547: out: -1 cor: -1, passed: yes
548: out: 351074770 cor: 351074770, passed: yes
549: out: -1 cor: -1, passed: yes
550: out: 81732 cor: 81732, passed: yes
551: out: 17007029 cor: 17007029, passed: yes
552: out: -1 cor: -1, passed: yes
553: out: 1673 cor: 1673, passed: yes
554: out: -1 cor: -1, passed: yes
555: out: 2772040 cor: 2772040, passed: yes
556: out: 71302208 cor: 71302208, passed: yes
557: out: 11586830 cor: 11586830, passed: yes
558: out: 4522185 cor: 4522185, passed: yes
559: out: -1 cor: -1, passed: yes
560: out: 125499 cor: 125499, passed: yes
561: out: -1 cor: -1, passed: yes
562: out: 15835217 cor: 15835217, passed: yes
563: out: 56408925 cor: 56408925, passed: yes
564: out: -1 cor: -1, passed: yes
565: out: 144484224 cor: 144484224, passed: yes
566: out: 16068164 cor: 16068164, passed: yes
567: out: -1 cor: -1, passed: yes
568: out: 163211929 cor: 163211929, passed: yes
569: out: 1335 cor: 1335, passed: yes
570: out: 73879917 cor: 73879917, passed: yes
571: out: -1 cor: -1, passed: yes
572: out: -1 cor: -1, passed: yes
573: out: 62967763 cor: 62967763, passed: yes
574: out: 14565256 cor: 14565256, passed: yes
575: out: 19148113 cor: 19148113, passed: yes
576: out: 1677348 cor: 1677348, passed: yes
577: out: 19995047 cor: 19995047, passed: yes
578: out: 327765 cor: 327765, passed: yes
579: out: 607062049 cor: 607062049, passed: yes
580: out: 294019 cor: 294019, passed: yes
581: out: 5067553 cor: 5067553, passed: yes
582: out: 377126736 cor: 377126736, passed: yes
583: out: 22332289 cor: 22332289, passed: yes
584: out: 15012913 cor: 15012913, passed: yes
585: out: 99303907 cor: 99303907, passed: yes
586: out: 13267919 cor: 13267919, passed: yes
587: out: -1 cor: -1, passed: yes
588: out: -1 cor: -1, passed: yes
589: out: 8972902 cor: 8972902, passed: yes
590: out: 15355985 cor: 15355985, passed: yes
591: out: 1961268 cor: 1961268, passed: yes
592: out: 639653 cor: 639653, passed: yes
593: out: -1 cor: -1, passed: yes
594: out: 1173404 cor: 1173404, passed: yes
595: out: 96028161 cor: 96028161, passed: yes
596: out: -1 cor: -1, passed: yes
597: out: -1 cor: -1, passed: yes
598: out: 9533919 cor: 9533919, passed: yes
599: out: -1 cor: -1, passed: yes
600: out: 206408 cor: 206408, passed: yes
601: out: -1 cor: -1, passed: yes
602: out: 5557 cor: 5557, passed: yes
603: out: 12330 cor: 12330, passed: yes
604: out: -1 cor: -1, passed: yes
605: out: 2258111 cor: 2258111, passed: yes
606: out: 9378191 cor: 9378191, passed: yes
607: out: 1779887 cor: 1779887, passed: yes
608: out: -1 cor: -1, passed: yes
609: out: 24891 cor: 24891, passed: yes
610: out: -1 cor: -1, passed: yes
611: out: -1 cor: -1, passed: yes
612: out: 272225 cor: 272225, passed: yes
613: out: 11896374 cor: 11896374, passed: yes
614: out: 24533971 cor: 24533971, passed: yes
615: out: 82184189 cor: 82184189, passed: yes
616: out: 35867317 cor: 35867317, passed: yes
617: out: 0 cor: 0, passed: yes
618: out: 15447045 cor: 15447045, passed: yes
619: out: 1724904 cor: 1724904, passed: yes
620: out: 349999934 cor: 349999934, passed: yes
621: out: 47732356 cor: 47732356, passed: yes
622: out: 923 cor: 923, passed: yes
623: out: -1 cor: -1, passed: yes
624: out: 3803122 cor: 3803122, passed: yes
625: out: 51394850 cor: 51394850, passed: yes
626: out: -1 cor: -1, passed: yes
627: out: 21830300 cor: 21830300, passed: yes
628: out: 448834122 cor: 448834122, passed: yes
629: out: 35961053 cor: 35961053, passed: yes
630: out: 430264362 cor: 430264362, passed: yes
631: out: 0 cor: 0, passed: yes
632: out: 316480 cor: 316480, passed: yes
633: out: 40397204 cor: 40397204, passed: yes
634: out: -1 cor: -1, passed: yes
635: out: 4020758 cor: 4020758, passed: yes
636: out: -1 cor: -1, passed: yes
637: out: -1 cor: -1, passed: yes
638: out: 28103317 cor: 28103317, passed: yes
639: out: 574625 cor: 574625, passed: yes
640: out: -1 cor: -1, passed: yes
641: out: 2778054 cor: 2778054, passed: yes
642: out: 2623086 cor: 2623086, passed: yes
643: out: 5135695 cor: 5135695, passed: yes
644: out: 5324 cor: 5324, passed: yes
645: out: 629102 cor: 629102, passed: yes
646: out: -1 cor: -1, passed: yes
647: out: -1 cor: -1, passed: yes
648: out: -1 cor: -1, passed: yes
649: out: -1 cor: -1, passed: yes
650: out: 1873483 cor: 1873483, passed: yes
651: out: -1 cor: -1, passed: yes
652: out: 33624250 cor: 33624250, passed: yes
653: out: 97246488 cor: 97246488, passed: yes
654: out: 15848825 cor: 15848825, passed: yes
655: out: -1 cor: -1, passed: yes
656: out: -1 cor: -1, passed: yes
657: out: 875587 cor: 875587, passed: yes
658: out: 3942148 cor: 3942148, passed: yes
659: out: 20494499 cor: 20494499, passed: yes
660: out: -1 cor: -1, passed: yes
661: out: 58429192 cor: 58429192, passed: yes
662: out: 101244 cor: 101244, passed: yes
663: out: 35430886 cor: 35430886, passed: yes
